name,time/op (ns/op),±
Gol/16x16x100-1-12,2.58827E+08,1%
Gol/16x16x100-2-12,2.70399E+08,12%
Gol/16x16x100-3-12,2.76876E+08,9%
Gol/16x16x100-4-12,2.65458E+08,1%
Gol/16x16x100-5-12,2.67588E+08,10%
Gol/16x16x100-6-12,2.62740E+08,2%
Gol/16x16x100-7-12,2.59307E+08,1%
Gol/16x16x100-8-12,2.62373E+08,2%
Gol/16x16x100-9-12,2.59767E+08,2%
Gol/16x16x100-10-12,2.64694E+08,1%
Gol/16x16x100-11-12,2.69855E+08,9%
Gol/16x16x100-12-12,2.59535E+08,1%
Gol/16x16x100-13-12,2.65600E+08,1%
Gol/16x16x100-14-12,2.70469E+08,9%
Gol/16x16x100-15-12,2.59855E+08,3%
Gol/16x16x100-16-12,2.64341E+08,1%
